18:12:15.932 ERROR    logcat: hd[0]: Syan(4540): ________________ Starting capture ________________ 
18:12:41.351 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
18:12:41.352 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:41.352 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
18:12:41.352 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
18:12:41.352 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:41.352 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:12:41.352 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
18:12:41.352 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:12:41.353 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
18:12:41.353 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:41.353 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
18:12:41.353 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
18:12:41.353 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:41.353 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:12:41.353 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
18:12:41.353 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:12:41.354 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
18:12:41.354 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:41.354 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
18:12:41.354 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
18:12:41.354 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
18:12:41.354 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
18:12:41.354 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
18:12:41.354 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:12:41.354 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:41.358 INFO     PCon: hd[0]: PcConfig: Camera CHANGE callback: node sourceman.camera, NodeInst 1, sVar orientation, nVarInst 0
18:12:46.532 ERROR    logcat: hd[0]: Syan(4552): ________________ invert ________________ 
18:12:48.327 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:48.327 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 
18:12:48.327 INFO     SMan: hd[0]: CameraJCCP: composeOrientationCmd: JCCP camera got orientation change to mode 1
18:12:48.327 INFO     SMan: hd[0]: CameraJCCP: Send 4 bytes: 83 41 3e 1 
18:12:48.327 INFO     SMan: hd[0]: SrcMan: 83 41 3E 01 
18:12:48.327 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203A>\001" } 
18:12:48.327 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
18:12:48.327 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
18:12:48.327 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
18:12:48.328 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203A>\001" } 
18:12:48.328 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
18:12:48.328 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
18:12:48.328 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:12:48.328 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:48.334 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:12:48.334 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
18:12:48.335 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:12:48.335 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
18:12:48.335 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:48.335 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
18:12:48.335 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
18:12:48.335 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
18:12:48.335 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
18:12:48.335 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:12:48.335 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:48.335 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:12:48.336 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
18:12:48.336 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:12:48.336 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
18:12:48.336 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:48.336 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
18:12:48.336 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
18:12:48.336 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:48.336 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:12:48.336 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
18:12:48.337 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:12:48.337 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
18:12:48.337 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:48.337 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
18:12:48.337 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
18:12:48.337 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:48.338 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:12:48.338 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
18:12:48.338 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:12:48.338 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
18:12:48.338 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:48.338 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
18:12:48.338 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
18:12:48.338 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
18:12:48.338 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
18:12:48.338 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
18:12:48.338 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:12:48.338 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:48.343 INFO     PCon: hd[0]: PcConfig: Camera CHANGE callback: node sourceman.camera, NodeInst 1, sVar orientation, nVarInst 0
18:12:52.537 ERROR    logcat: hd[0]: Syan(4555): ________________ normal ________________ 
18:12:54.457 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:54.457 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 
18:12:54.457 INFO     SMan: hd[0]: CameraJCCP: composeOrientationCmd: JCCP camera got orientation change to mode 0
18:12:54.457 INFO     SMan: hd[0]: CameraJCCP: Send 4 bytes: 83 41 3e 0 
18:12:54.457 INFO     SMan: hd[0]: SrcMan: 83 41 3E 00 
18:12:54.457 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203A>\000" } 
18:12:54.457 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
18:12:54.457 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
18:12:54.457 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
18:12:54.457 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203A>\000" } 
18:12:54.457 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
18:12:54.458 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
18:12:54.458 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:12:54.458 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:54.464 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:12:54.464 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
18:12:54.465 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:12:54.465 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
18:12:54.465 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:12:54.465 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
18:12:54.465 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:54.465 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
18:12:54.465 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
18:12:54.465 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
18:12:54.466 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
18:12:54.466 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:12:54.466 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:54.466 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:12:54.466 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
18:12:54.466 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:12:54.466 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
18:12:54.466 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:54.466 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
18:12:54.466 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
18:12:54.467 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:54.467 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:12:54.467 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
18:12:54.467 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:54.467 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
18:12:54.467 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
18:12:54.467 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:54.467 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:12:54.467 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
18:12:54.468 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:12:54.468 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
18:12:54.468 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:12:54.468 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
18:12:54.468 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
18:12:54.468 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
18:12:54.468 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
18:12:54.468 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
18:12:54.468 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:12:54.468 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:12:54.473 INFO     PCon: hd[0]: PcConfig: Camera CHANGE callback: node sourceman.camera, NodeInst 1, sVar orientation, nVarInst 0
18:13:03.362 ERROR    logcat: hd[0]: Syan(4558): ________________ motion ________________ 
18:13:06.086 INFO     SMan: hd[0]: SrcMan: VideoAttributesChangedNtfy: Resolution is supported
18:13:06.086 INFO     SMan: hd[0]: SrcMan: VideoAttributesChangedNtfy: source_id { system: 0 id: 1 } video_resolution { width: 1920 height: 1080 refresh_rate: 50 is_interlaced: false } video_signal: eComponent video_role: ePeople video_quality: eMotion attached: true unsupported: BLUE_SCREEN_OFF 
18:13:06.110 INFO     PCon: hd[0]: PcConfig: Camera CHANGE callback: node sourceman.camera, NodeInst 1, sVar videoquality, nVarInst 0
18:13:11.897 ERROR    logcat: hd[0]: Syan(4561): ________________ sharp ________________ 
18:13:15.658 INFO     SMan: hd[0]: SrcMan: VideoAttributesChangedNtfy: Resolution is supported
18:13:15.659 INFO     SMan: hd[0]: SrcMan: VideoAttributesChangedNtfy: source_id { system: 0 id: 1 } video_resolution { width: 1920 height: 1080 refresh_rate: 50 is_interlaced: false } video_signal: eComponent video_role: ePeople video_quality: eSharpness attached: true unsupported: BLUE_SCREEN_OFF 
18:13:15.684 INFO     PCon: hd[0]: PcConfig: Camera CHANGE callback: node sourceman.camera, NodeInst 1, sVar videoquality, nVarInst 0
18:13:17.623 ERROR    logcat: hd[0]: Syan(4564): ________________ motion ________________ 
18:13:20.882 INFO     SMan: hd[0]: SrcMan: VideoAttributesChangedNtfy: Resolution is supported
18:13:20.882 INFO     SMan: hd[0]: SrcMan: VideoAttributesChangedNtfy: source_id { system: 0 id: 1 } video_resolution { width: 1920 height: 1080 refresh_rate: 50 is_interlaced: false } video_signal: eComponent video_role: ePeople video_quality: eMotion attached: true unsupported: BLUE_SCREEN_OFF 
18:13:20.915 INFO     PCon: hd[0]: PcConfig: Camera CHANGE callback: node sourceman.camera, NodeInst 1, sVar videoquality, nVarInst 0
18:13:22.686 ERROR    logcat: hd[0]: Syan(4567): ________________ sharp ________________ 
18:13:26.601 INFO     SMan: hd[0]: SrcMan: VideoAttributesChangedNtfy: Resolution is supported
18:13:26.601 INFO     SMan: hd[0]: SrcMan: VideoAttributesChangedNtfy: source_id { system: 0 id: 1 } video_resolution { width: 1920 height: 1080 refresh_rate: 50 is_interlaced: false } video_signal: eComponent video_role: ePeople video_quality: eSharpness attached: true unsupported: BLUE_SCREEN_OFF 
18:13:26.627 INFO     PCon: hd[0]: PcConfig: Camera CHANGE callback: node sourceman.camera, NodeInst 1, sVar videoquality, nVarInst 0
18:13:31.206 ERROR    logcat: hd[0]: Syan(4570): ________________ backlight on ________________ 
18:13:36.012 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:13:36.012 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 
18:13:36.012 INFO     SMan: hd[0]: CameraEagleEyeIV: composeBackLightCmd: JCCP EEIV camera got back light change to mode 1
18:13:36.012 INFO     SMan: hd[0]: CameraEagleEyeIV: Send 4 bytes: 83 42 15 1 
18:13:36.012 INFO     SMan: hd[0]: SrcMan: 83 42 15 01 
18:13:36.012 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203B\025\001" } 
18:13:36.012 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
18:13:36.013 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
18:13:36.013 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
18:13:36.013 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203B\025\001" } 
18:13:36.013 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
18:13:36.013 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
18:13:36.014 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
