16:34:07.876 ERROR    logcat: hd[0]: Syan(3954): ________________ camera near move up ________________ 
16:34:08.218 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
16:34:08.218 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
16:34:08.218 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.218 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.218 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.218 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
16:34:08.218 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.218 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
16:34:08.218 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.219 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
16:34:08.219 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
16:34:08.219 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.219 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.219 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
16:34:08.219 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.219 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
16:34:08.220 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.220 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
16:34:08.220 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
16:34:08.220 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.220 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.220 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
16:34:08.220 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.221 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
16:34:08.221 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.221 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
16:34:08.221 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
16:34:08.221 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
16:34:08.221 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
16:34:08.221 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
16:34:08.221 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.221 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.359 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.359 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 02 96 
16:34:08.359 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 1 2 150
16:34:08.359 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - accelerate 
16:34:08.359 INFO     SMan: hd[0]: SrcMan: 83 45 03 15 
16:34:08.360 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\003\025" } 
16:34:08.360 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
16:34:08.360 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
16:34:08.360 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
16:34:08.360 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\003\025" } 
16:34:08.360 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
16:34:08.361 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
16:34:08.361 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.361 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.366 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.367 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
16:34:08.367 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.367 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
16:34:08.367 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.367 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
16:34:08.367 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
16:34:08.367 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
16:34:08.367 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
16:34:08.368 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.368 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.368 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.368 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
16:34:08.368 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.368 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
16:34:08.369 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.369 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
16:34:08.369 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
16:34:08.369 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.369 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.369 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
16:34:08.369 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.369 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
16:34:08.370 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.370 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
16:34:08.370 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
16:34:08.370 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.370 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.370 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
16:34:08.370 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.370 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
16:34:08.371 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.371 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
16:34:08.371 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
16:34:08.371 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
16:34:08.371 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
16:34:08.371 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
16:34:08.371 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.371 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.509 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.509 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 02 96 
16:34:08.509 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 1 2 150
16:34:08.509 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - accelerate 
16:34:08.509 INFO     SMan: hd[0]: SrcMan: 83 45 03 17 
16:34:08.510 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\003\027" } 
16:34:08.510 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
16:34:08.510 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
16:34:08.510 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
16:34:08.510 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\003\027" } 
16:34:08.511 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
16:34:08.511 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
16:34:08.511 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.511 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.517 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.517 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
16:34:08.517 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.518 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
16:34:08.518 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.518 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
16:34:08.518 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
16:34:08.518 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
16:34:08.518 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
16:34:08.518 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.518 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.518 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.518 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
16:34:08.518 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.519 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
16:34:08.519 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.519 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
16:34:08.519 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
16:34:08.519 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.519 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.519 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
16:34:08.520 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.520 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
16:34:08.520 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.520 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
16:34:08.520 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
16:34:08.520 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.520 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.520 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
16:34:08.521 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.521 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
16:34:08.521 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.521 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
16:34:08.521 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
16:34:08.521 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
16:34:08.521 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
16:34:08.521 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
16:34:08.521 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.521 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.659 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.659 DEBUG    SMan: hd[0]: CameraBase: In: Command: 01 02 96 
16:34:08.659 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 1 2 150
16:34:08.659 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - accelerate 
16:34:08.659 INFO     SMan: hd[0]: SrcMan: 83 45 03 19 
16:34:08.660 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\003\031" } 
16:34:08.660 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
16:34:08.660 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
16:34:08.660 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
16:34:08.660 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\003\031" } 
16:34:08.660 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
16:34:08.661 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
16:34:08.661 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.661 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.666 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.667 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
16:34:08.667 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.667 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
16:34:08.667 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.667 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
16:34:08.667 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
16:34:08.667 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
16:34:08.667 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
16:34:08.667 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
16:34:08.667 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.668 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.668 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
16:34:08.668 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.668 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
16:34:08.668 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.668 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
16:34:08.668 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
16:34:08.668 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.669 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.669 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
16:34:08.669 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
16:34:08.669 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
16:34:08.669 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
16:34:08.669 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
16:34:08.669 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
16:34:08.669 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
16:34:08.670 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
16:34:08.670 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
16:34:08.670 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
