18:16:11.526 ERROR    logcat: hd[0]: Syan(4621): ________________ wb4230k ________________ 
18:16:12.712 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:16:12.712 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
18:16:12.712 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:16:12.712 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
18:16:12.713 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:16:12.713 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
18:16:12.713 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
18:16:12.713 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
18:16:12.713 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
18:16:12.713 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
18:16:12.713 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:16:12.713 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:16:12.717 INFO     PCon: hd[0]: PcConfig: Camera CHANGE callback: node sourceman.camera, NodeInst 1, sVar whitebalancemode, nVarInst 0
