18:15:12.921 ERROR    logcat: hd[0]: Syan(4606): ________________ calibrate ________________ 
18:15:14.325 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:15:14.325 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
18:15:14.326 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:15:14.326 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
18:15:14.326 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
18:15:14.326 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:15:14.326 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:15:14.326 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
18:15:14.326 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:15:14.326 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
18:15:14.327 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:15:14.327 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
18:15:14.327 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
18:15:14.327 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:15:14.327 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:15:14.327 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
18:15:14.327 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:15:14.327 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
18:15:14.328 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:15:14.328 DEBUG    SMan: hd[0]: CameraBase: In: Response: 00 
18:15:14.328 INFO     SMan: hd[0]: CameraJCCP: QRead 3 bytes
18:15:14.328 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: 92 40 00 
18:15:14.328 INFO     SMan: hd[0]: CameraJCCP: rx: complete message 92 40 00 
18:15:14.328 INFO     SMan: hd[0]: CameraJCCP: rx: Excuted
18:15:14.328 DEBUG    SMan: hd[0]: CameraBase: Camera::WaitForNewCmdMsg: White balance calibrate complete
18:15:14.328 INFO     SMan: hd[0]: SrcMan: WhiteBalanceCalibrateNtfy: error: kErrNoError source_id: 1 
18:15:14.328 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:15:14.328 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
